record_type,lesson_day,platform,title,creator,source_page,media_url,license,license_url,retrieved,modifications,course_use,notes
Visual example,11,Wikimedia Commons,"Self-portrait by Anna Bilińska-Bohdanowiczowa, 1887.jpg",Anna Bilińska-Bohdanowicz,"https://commons.wikimedia.org/wiki/File:Self-portrait_by_Anna_Bili%C5%84ska-Bohdanowiczowa,_1887.jpg",https://upload.wikimedia.org/wikipedia/commons/0/0b/Self-portrait_by_Anna_Bili%C5%84ska-Bohdanowiczowa%2C_1887.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 11 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,12,Wikimedia Commons,Shane Claiborne Early Church Our Community Place Harrisonburg VA March 2008.jpg,Artaxerxes,https://commons.wikimedia.org/wiki/File:Shane_Claiborne_Early_Church_Our_Community_Place_Harrisonburg_VA_March_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Shane_Claiborne_Early_Church_Our_Community_Place_Harrisonburg_VA_March_2008.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 12 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,13,Wikimedia Commons,Sunset on beach.jpg,Smiley.toerist,https://commons.wikimedia.org/wiki/File:Sunset_on_beach.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Sunset_on_beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 13 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,14,Wikimedia Commons,"Rain-in-the-Face, a Hunkpapa Sioux, bust-length, full-face, wearing feathered headdress - NARA - 530895.jpg",Unknown authorUnknown author or not provided,"https://commons.wikimedia.org/wiki/File:Rain-in-the-Face,_a_Hunkpapa_Sioux,_bust-length,_full-face,_wearing_feathered_headdress_-_NARA_-_530895.jpg",https://upload.wikimedia.org/wikipedia/commons/1/12/Rain-in-the-Face%2C_a_Hunkpapa_Sioux%2C_bust-length%2C_full-face%2C_wearing_feathered_headdress_-_NARA_-_530895.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 14 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,15,Wikimedia Commons,Woman teaching geometry.jpg,Attributed to Meliacin Master,https://commons.wikimedia.org/wiki/File:Woman_teaching_geometry.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Woman_teaching_geometry.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 15 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,16,Wikimedia Commons,"Amboy (California, USA) -- 2012 -- 4.jpg",Dietmar Rabich,"https://commons.wikimedia.org/wiki/File:Amboy_(California,_USA)_--_2012_--_4.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a3/Amboy_%28California%2C_USA%29_--_2012_--_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 16 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,17,Wikimedia Commons,Homeless down in the corner.jpg,Erik Pevernagie,https://commons.wikimedia.org/wiki/File:Homeless_down_in_the_corner.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Homeless_down_in_the_corner.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 17 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,18,Wikimedia Commons,Casse-noix ouvre-bouteille 01.jpg,Coyau,https://commons.wikimedia.org/wiki/File:Casse-noix_ouvre-bouteille_01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Casse-noix_ouvre-bouteille_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 18 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,19,Wikimedia Commons,Xbox-360-E-Flat-Front.jpg,Evan-Amos,https://commons.wikimedia.org/wiki/File:Xbox-360-E-Flat-Front.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Xbox-360-E-Flat-Front.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 19 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,20,Wikimedia Commons,Flegel - Stilleben mit Kuttrolf und Kirschen.jpg,Georg Flegel,https://commons.wikimedia.org/wiki/File:Flegel_-_Stilleben_mit_Kuttrolf_und_Kirschen.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flegel_-_Stilleben_mit_Kuttrolf_und_Kirschen.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 20 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,21,Wikimedia Commons,Sonny Perdue and Paul Gigot 20180307-OSEC-PJK-0324 (38866772270).jpg,U.S. Department of Agriculture Preston Keres/Office of Communications-Photography Services Center,https://commons.wikimedia.org/wiki/File:Sonny_Perdue_and_Paul_Gigot_20180307-OSEC-PJK-0324_(38866772270).jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Sonny_Perdue_and_Paul_Gigot_20180307-OSEC-PJK-0324_%2838866772270%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 21 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,22,Wikimedia Commons,Sandy Point State Park -62- (9734356100).jpg,"Ben Schumin from Montgomery Village, Maryland, USA",https://commons.wikimedia.org/wiki/File:Sandy_Point_State_Park_-62-_(9734356100).jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Sandy_Point_State_Park_-62-_%289734356100%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 22 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,23,Wikimedia Commons,Sparks Shot Tower1.jpg,Jack Boucher,https://commons.wikimedia.org/wiki/File:Sparks_Shot_Tower1.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Sparks_Shot_Tower1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 23 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,24,Wikimedia Commons,"Patrel1-Bhatia Residence,Mumbai-Maharashtra.jpg",CHEFTB2,"https://commons.wikimedia.org/wiki/File:Patrel1-Bhatia_Residence,Mumbai-Maharashtra.jpg",https://upload.wikimedia.org/wikipedia/commons/d/d7/Patrel1-Bhatia_Residence%2CMumbai-Maharashtra.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 24 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,25,Wikimedia Commons,"First Floor Plan - San Francisco Cable Railway, Cable Car Powerhouse and Barn, 1201 Mason Street, San Francisco, San Francisco County, CA HAER CAL,38-SANFRA,137-A- (sheet 4 of 5).tif","Sutphin, H. Adams Related names: Ferries and Cliff House Railway Company","https://commons.wikimedia.org/wiki/File:First_Floor_Plan_-_San_Francisco_Cable_Railway,_Cable_Car_Powerhouse_and_Barn,_1201_Mason_Street,_San_Francisco,_San_Francisco_County,_CA_HAER_CAL,38-SANFRA,137-A-_(sheet_4_of_5).tif",https://upload.wikimedia.org/wikipedia/commons/8/86/First_Floor_Plan_-_San_Francisco_Cable_Railway%2C_Cable_Car_Powerhouse_and_Barn%2C_1201_Mason_Street%2C_San_Francisco%2C_San_Francisco_County%2C_CA_HAER_CAL%2C38-SANFRA%2C137-A-_%28sheet_4_of_5%29.tif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 25 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,26,Wikimedia Commons,Blacksmith at work LCCN2007681034.jpg,"Miscellaneous Items in High Demand, PPOC, Library of Congress",https://commons.wikimedia.org/wiki/File:Blacksmith_at_work_LCCN2007681034.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Blacksmith_at_work_LCCN2007681034.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 26 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,27,Wikimedia Commons,"Toni Frissell, fashion model near tidal basin, Washington, D.C., ca. 1946.jpg",Toni Frissell,"https://commons.wikimedia.org/wiki/File:Toni_Frissell,_fashion_model_near_tidal_basin,_Washington,_D.C.,_ca._1946.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c4/Toni_Frissell%2C_fashion_model_near_tidal_basin%2C_Washington%2C_D.C.%2C_ca._1946.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 27 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,28,Wikimedia Commons,"Guadeloupe winter carnival, Pointe-à-Pitre parade. A middle aged woman, performer wearing traditional carnival head-dress(close up outdoor portrait).jpg",Mstyslav Chernov,"https://commons.wikimedia.org/wiki/File:Guadeloupe_winter_carnival,_Pointe-%C3%A0-Pitre_parade._A_middle_aged_woman,_performer_wearing_traditional_carnival_head-dress(close_up_outdoor_portrait).jpg",https://upload.wikimedia.org/wikipedia/commons/1/14/Guadeloupe_winter_carnival%2C_Pointe-%C3%A0-Pitre_parade._A_middle_aged_woman%2C_performer_wearing_traditional_carnival_head-dress%28close_up_outdoor_portrait%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 28 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
License guidance,,Web,Unsplash License,Unsplash,https://unsplash.com/license,,Website terms,https://unsplash.com/license,2026-09-14,,Commercial-use due diligence,Reference consulted; no copied course text.
License guidance,,Web,Pexels License,Pexels,https://www.pexels.com/license/,,Website terms,https://www.pexels.com/license/,2026-09-14,,Commercial-use due diligence,Reference consulted; no copied course text.
License guidance,,Web,Wikimedia Commons reuse guide,Wikimedia Commons contributors,https://commons.wikimedia.org/wiki/Commons:Reusing_content_outside_Wikimedia,,CC BY-SA 4.0 text,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-14,,Attribution procedure,Reference consulted; no copied course text.
Technical reference,,Web,iPhone camera tools,Apple,https://support.apple.com/guide/iphone/use-camera-tools-to-set-up-your-shot-iph3dc593597/ios,,Website terms,https://www.apple.com/legal/internet-services/terms/site.html,2026-09-14,,"Grid, exposure, focus guidance",Reference consulted; no copied course text.
Technical reference,,Web,Edit photos and videos,Google Photos Help,https://support.google.com/photos/answer/6128850,,Website terms,https://policies.google.com/terms,2026-09-14,,Mobile editing reference,Reference consulted; no copied course text.
Technical reference,,Web,Masking in Lightroom,Adobe,https://helpx.adobe.com/lightroom-cc/using/masking.html,,Website terms,https://www.adobe.com/legal/terms.html,2026-09-14,,Selective editing reference,Reference consulted; no copied course text.
